,us_large_cap,us_tech,commodities,real_estate,crypto_major,crypto_alt
2013,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669
2014,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669
2015,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669
2016,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669
2017,0.15,0.2,0.15,0.15,0.2,0.15
2018,0.22222222222222224,0.1388888888888889,0.22222222222222224,0.1388888888888889,0.1388888888888889,0.1388888888888889
2019,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669
2020,0.15,0.2,0.15,0.15,0.2,0.15
2021,0.15,0.2,0.15,0.15,0.2,0.15
2022,0.22222222222222224,0.1388888888888889,0.22222222222222224,0.1388888888888889,0.1388888888888889,0.1388888888888889
2023,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669,0.16666666666666669
