,us_large_cap,us_tech,commodities,real_estate,crypto_major,crypto_alt
2016,"{'sharpe': np.float64(0.031473046465507866), 'momentum': np.float64(0.00013192936039519888), 'volatility': np.float64(0.007676766481727526), 'trend': np.float64(0.08323569747668147), 'max_drawdown': np.float64(-0.11503497468378716), 'ml_prediction': 0}","{'sharpe': np.float64(0.015678565278157662), 'momentum': np.float64(0.00047563688679229084), 'volatility': np.float64(0.01455361611528172), 'trend': np.float64(0.06468729575555732), 'max_drawdown': np.float64(-0.17934951397793336), 'ml_prediction': 0}","{'sharpe': np.float64(0.03973713409175055), 'momentum': np.float64(1.696549515847868e-05), 'volatility': np.float64(0.015784176005721455), 'trend': np.float64(0.09768651031333508), 'max_drawdown': np.float64(-0.16606955009812896), 'ml_prediction': 0}","{'sharpe': np.float64(0.014090744977127973), 'momentum': np.float64(0.0004622758861346544), 'volatility': np.float64(0.008814367088569933), 'trend': np.float64(0.03069344697809062), 'max_drawdown': np.float64(-0.15327231044442224), 'ml_prediction': 0}","{'sharpe': np.float64(0.04973702084865527), 'momentum': np.float64(0.003536376605521552), 'volatility': np.float64(0.012584057291449104), 'trend': np.float64(0.7010015038600259), 'max_drawdown': np.float64(-0.20129191471621405), 'ml_prediction': 0}","{'sharpe': np.float64(0.03386515158994607), 'momentum': np.float64(0.003968035522090656), 'volatility': np.float64(0.030030905528072905), 'trend': np.float64(0.2326346000799444), 'max_drawdown': np.float64(-0.3766629796967318), 'ml_prediction': 0}"
2017,"{'sharpe': np.float64(0.13995549169337657), 'momentum': np.float64(0.00037356499532774086), 'volatility': np.float64(0.004490966308049439), 'trend': np.float64(0.23569479611318256), 'max_drawdown': np.float64(-0.02783584451411053), 'ml_prediction': np.float64(0.5165573874146207)}","{'sharpe': np.float64(0.1000684221204591), 'momentum': np.float64(0.0002234730275403774), 'volatility': np.float64(0.011314529817290503), 'trend': np.float64(0.41652983948398026), 'max_drawdown': np.float64(-0.06863137083666931), 'ml_prediction': np.float64(0.5415559958051561)}","{'sharpe': np.float64(0.04110899077113137), 'momentum': np.float64(0.0013221507957948697), 'volatility': np.float64(0.009234596829062983), 'trend': np.float64(0.13456584907973856), 'max_drawdown': np.float64(-0.07150796625933735), 'ml_prediction': np.float64(0.5187724680016211)}","{'sharpe': np.float64(0.015258316053778101), 'momentum': np.float64(-9.824189592404126e-05), 'volatility': np.float64(0.005319620441478095), 'trend': np.float64(0.026723724850184816), 'max_drawdown': np.float64(-0.05840367564957131), 'ml_prediction': np.float64(0.45094643758983965)}","{'sharpe': np.float64(0.13655247185931124), 'momentum': np.float64(0.012217931058918035), 'volatility': np.float64(0.03812657289416132), 'trend': np.float64(10.30460237419676), 'max_drawdown': np.float64(-0.33322371252082716), 'ml_prediction': np.float64(0.5854530893373908)}","{'sharpe': np.float64(0.1639584193677163), 'momentum': np.float64(0.021520816413827134), 'volatility': np.float64(0.08707735254397117), 'trend': np.float64(50.44438941435229), 'max_drawdown': np.float64(-0.516677786254912), 'ml_prediction': np.float64(0.9983023396999242)}"
2018,"{'sharpe': np.float64(-0.005925567583039807), 'momentum': np.float64(-0.0012919008709900996), 'volatility': np.float64(0.010474850277953363), 'trend': np.float64(-0.043632549480494554), 'max_drawdown': np.float64(-0.2100355300417905), 'ml_prediction': np.float64(0.5077821669623348)}","{'sharpe': np.float64(0.02799612991804828), 'momentum': np.float64(-0.0004260028840520362), 'volatility': np.float64(0.019760237999652583), 'trend': np.float64(0.15481503105022454), 'max_drawdown': np.float64(-0.22464948383739378), 'ml_prediction': np.float64(0.5232055177348831)}","{'sharpe': np.float64(-0.024143271086011026), 'momentum': np.float64(-0.000436034813967994), 'volatility': np.float64(0.010414184524759387), 'trend': np.float64(-0.03225729283397927), 'max_drawdown': np.float64(-0.13082613352269373), 'ml_prediction': np.float64(0.48426708911685984)}","{'sharpe': np.float64(-0.023967474854669716), 'momentum': np.float64(-0.0014364722549021968), 'volatility': np.float64(0.008518481063025744), 'trend': np.float64(-0.0867694980076309), 'max_drawdown': np.float64(-0.1420262134578134), 'ml_prediction': np.float64(0.5196260334928859)}","{'sharpe': np.float64(-0.05987995932936588), 'momentum': np.float64(-0.0003978945430367835), 'volatility': np.float64(0.049273154298155666), 'trend': np.float64(-0.7313852145033749), 'max_drawdown': np.float64(-0.6888590592249363), 'ml_prediction': np.float64(0.3190803258637082)}","{'sharpe': np.float64(-0.07078842566902571), 'momentum': np.float64(-0.0020409249652484783), 'volatility': np.float64(0.05617579203676353), 'trend': np.float64(-0.8669701617738205), 'max_drawdown': np.float64(-0.8680014201948358), 'ml_prediction': np.float64(0.34142010789940197)}"
2019,"{'sharpe': np.float64(0.10832342041261833), 'momentum': np.float64(0.000999363307619087), 'volatility': np.float64(0.007548801559013443), 'trend': np.float64(0.32235636510253185), 'max_drawdown': np.float64(-0.08337798779554782), 'ml_prediction': np.float64(0.5239318867895933)}","{'sharpe': np.float64(0.06815531248613768), 'momentum': np.float64(0.002173781018114794), 'volatility': np.float64(0.015182569489528275), 'trend': np.float64(0.37373876455000565), 'max_drawdown': np.float64(-0.12762268612069513), 'ml_prediction': np.float64(0.5756044887566667)}","{'sharpe': np.float64(0.05983412181355108), 'momentum': np.float64(0.0011218804241680718), 'volatility': np.float64(0.01140078116043443), 'trend': np.float64(0.19359018630128566), 'max_drawdown': np.float64(-0.061732530729241196), 'ml_prediction': np.float64(0.5051008181807225)}","{'sharpe': np.float64(0.09131133393938362), 'momentum': np.float64(0.00020111858911859678), 'volatility': np.float64(0.006389077400694422), 'trend': np.float64(0.23751963193647385), 'max_drawdown': np.float64(-0.059334689287017454), 'ml_prediction': np.float64(0.5056674323115956)}","{'sharpe': np.float64(0.04050532518684685), 'momentum': np.float64(-0.002898422305552686), 'volatility': np.float64(0.03836641116539397), 'trend': np.float64(0.8379985193571868), 'max_drawdown': np.float64(-0.4935125577476068), 'ml_prediction': np.float64(0.6582798246517395)}","{'sharpe': np.float64(0.03804253365607762), 'momentum': np.float64(-0.0037068535634431684), 'volatility': np.float64(0.04871278938354022), 'trend': np.float64(0.2926879920394563), 'max_drawdown': np.float64(-0.7386706729357904), 'ml_prediction': np.float64(0.6689070497953166)}"
2020,"{'sharpe': np.float64(0.049333080038241495), 'momentum': np.float64(0.001309496365504615), 'volatility': np.float64(0.018132018665714976), 'trend': np.float64(0.2865455744528689), 'max_drawdown': np.float64(-0.31618923540316), 'ml_prediction': np.float64(0.5732291345922248)}","{'sharpe': np.float64(0.08350856325155595), 'momentum': np.float64(0.0025352576266868096), 'volatility': np.float64(0.027611513395320142), 'trend': np.float64(1.0528235965308643), 'max_drawdown': np.float64(-0.3000883024616975), 'ml_prediction': np.float64(0.6859609024553707)}","{'sharpe': np.float64(0.02073025301619339), 'momentum': np.float64(0.001719805398655139), 'volatility': np.float64(0.07190966817889685), 'trend': np.float64(0.23121042961718064), 'max_drawdown': np.float64(-0.13386884710517769), 'ml_prediction': np.float64(0.6070240468565661)}","{'sharpe': np.float64(-0.0036557048079203015), 'momentum': np.float64(0.0005869875836756424), 'volatility': np.float64(0.022006707499267985), 'trend': np.float64(-0.09233899753921448), 'max_drawdown': np.float64(-0.4274396828599011), 'ml_prediction': np.float64(0.5185084253194315)}","{'sharpe': np.float64(0.12208861026738965), 'momentum': np.float64(0.012219801314068872), 'volatility': np.float64(0.0436074036742845), 'trend': np.float64(3.056693517670813), 'max_drawdown': np.float64(-0.5202930232870386), 'ml_prediction': np.float64(1.0270259861225286)}","{'sharpe': np.float64(0.08484420637768798), 'momentum': np.float64(0.014484411293742732), 'volatility': np.float64(0.05108399248300914), 'trend': np.float64(1.9675652330936506), 'max_drawdown': np.float64(-0.6272954162874892), 'ml_prediction': np.float64(0.8439841225651104)}"
2021,"{'sharpe': np.float64(0.08602899972105263), 'momentum': np.float64(0.0007223391237619241), 'volatility': np.float64(0.008218813296726813), 'trend': np.float64(0.269320269562326), 'max_drawdown': np.float64(-0.06623325894772478), 'ml_prediction': np.float64(0.5307308912158266)}","{'sharpe': np.float64(0.07173596528221306), 'momentum': np.float64(0.00044706852560581485), 'volatility': np.float64(0.01628939353708926), 'trend': np.float64(0.412396822649594), 'max_drawdown': np.float64(-0.17188603607639266), 'ml_prediction': np.float64(0.558534510583044)}","{'sharpe': np.float64(0.017953135688442663), 'momentum': np.float64(0.0006331620468305556), 'volatility': np.float64(0.014121069799069791), 'trend': np.float64(-0.021298273063209083), 'max_drawdown': np.float64(-0.12915519350308693), 'ml_prediction': np.float64(0.5113370018304441)}","{'sharpe': np.float64(0.11591475723829847), 'momentum': np.float64(0.0016615734149812063), 'volatility': np.float64(0.0077150490451025925), 'trend': np.float64(0.3636219634957836), 'max_drawdown': np.float64(-0.08132169625644825), 'ml_prediction': np.float64(0.5360803003739443)}","{'sharpe': np.float64(0.07907801884780563), 'momentum': np.float64(-0.0027518784324695334), 'volatility': np.float64(0.04910641080535179), 'trend': np.float64(0.6605173673344698), 'max_drawdown': np.float64(-0.5200766028893217), 'ml_prediction': np.float64(0.5906674942912519)}","{'sharpe': np.float64(0.038160428239918574), 'momentum': np.float64(-0.0041944811204820374), 'volatility': np.float64(0.06112314032831686), 'trend': np.float64(0.16069347699740533), 'max_drawdown': np.float64(-0.7220875474079695), 'ml_prediction': np.float64(0.4619818265239619)}"
2022,"{'sharpe': np.float64(-0.04886137024989662), 'momentum': np.float64(-0.0008142115468960881), 'volatility': np.float64(0.014753334306762487), 'trend': np.float64(-0.25675691929556665), 'max_drawdown': np.float64(-0.27445158569150013), 'ml_prediction': np.float64(0.4946032033732135)}","{'sharpe': np.float64(-0.05551514145832413), 'momentum': np.float64(-0.0033954554262419926), 'volatility': np.float64(0.024948464107564586), 'trend': np.float64(-0.46484973567934196), 'max_drawdown': np.float64(-0.42906723474729075), 'ml_prediction': np.float64(0.45873987752488)}","{'sharpe': np.float64(0.011442889876433037), 'momentum': np.float64(0.0012940518995844272), 'volatility': np.float64(0.016668544321900437), 'trend': np.float64(-0.001150571993756233), 'max_drawdown': np.float64(-0.2155815573867178), 'ml_prediction': np.float64(0.4812744205276777)}","{'sharpe': np.float64(-0.06238764566675215), 'momentum': np.float64(-0.0005056036321434672), 'volatility': np.float64(0.012955115195456763), 'trend': np.float64(-0.2806050170791431), 'max_drawdown': np.float64(-0.3191548604623336), 'ml_prediction': np.float64(0.47334467013371934)}","{'sharpe': np.float64(-0.05862590149664737), 'momentum': np.float64(-0.0012273986218237038), 'volatility': np.float64(0.039262109784403185), 'trend': np.float64(-0.6551599107868811), 'max_drawdown': np.float64(-0.6678514825433735), 'ml_prediction': np.float64(0.459240612574818)}","{'sharpe': np.float64(-0.024105462014957852), 'momentum': np.float64(0.0021894334838432313), 'volatility': np.float64(0.045037740433602425), 'trend': np.float64(-0.5355181955805055), 'max_drawdown': np.float64(-0.7145046423089065), 'ml_prediction': np.float64(0.5753548772822542)}"
2023,"{'sharpe': np.float64(0.11058676497846807), 'momentum': np.float64(0.0013073214029761123), 'volatility': np.float64(0.008125759853246886), 'trend': np.float64(0.36398390378967727), 'max_drawdown': np.float64(-0.10158414543872514), 'ml_prediction': np.float64(0.5462937276674273)}","{'sharpe': np.float64(0.09340420174262112), 'momentum': np.float64(0.001065704332391346), 'volatility': np.float64(0.01862264285770111), 'trend': np.float64(0.7116940200475335), 'max_drawdown': np.float64(-0.14725867509323468), 'ml_prediction': np.float64(0.5981748277845641)}","{'sharpe': np.float64(0.017020615948042498), 'momentum': np.float64(-0.00010578930353460443), 'volatility': np.float64(0.012709647824916195), 'trend': np.float64(0.12167495611928736), 'max_drawdown': np.float64(-0.1068126566913149), 'ml_prediction': np.float64(0.5019078976236506)}","{'sharpe': np.float64(0.02457238060947092), 'momentum': np.float64(0.0020072298529157126), 'volatility': np.float64(0.010517814249776413), 'trend': np.float64(0.07808128693718541), 'max_drawdown': np.float64(-0.21640089949158647), 'ml_prediction': np.float64(0.48597897304366555)}","{'sharpe': np.float64(0.10366373756762703), 'momentum': np.float64(0.0027884088880658826), 'volatility': np.float64(0.023709836191608134), 'trend': np.float64(1.4989647948626783), 'max_drawdown': np.float64(-0.20214309328053806), 'ml_prediction': np.float64(0.5753453007674626)}","{'sharpe': np.float64(0.01895732088711569), 'momentum': np.float64(0.0008150082443286192), 'volatility': np.float64(0.0341162662592154), 'trend': np.float64(0.027999181206535217), 'max_drawdown': np.float64(-0.480316506820897), 'ml_prediction': np.float64(0.43734411950624635)}"
